Product Name,Product ID,Price,Discount
BROWN BLENDED KAMEEZ SHALWAR,JJKS-A-32965,"['6,742.50']",['25%  OFF']
PIGEON BLUE BLENDED KAMEEZ SHALWAR,JJKS-A-34778,"['5,617.50']",['25%  OFF']
BROWN BLENDED KAMEEZ SHALWAR,JJKS-A-34781,"['6,150.00']",['25%  OFF']
DARK GREY BLENDED KAMEEZ SHALWAR,JJKS-A-32963,"['6,150.00']",['25%  OFF']
MEHNDI GREEN BLENDED KAMEEZ SHALWAR,JJKS-A-37891,"['5,767.50']",['25%  OFF']
GREY COTTON KURTA,JJK-A-47025,"['5,077.50']",['25%  OFF']
GREY BLENDED KAMEEZ SHALWAR,JJKS-A-30821-R28-AP,[],[]
NAVY BLUE BLENDED KAMEEZ SHALWAR,JJKS-A-30780-R34-AP,[],[]
WHITE BLENDED KAMEEZ SHALWAR,JJKS-S-32975,"['5,242.50']",['25%  OFF']
NAVY BLUE BLENDED KAMEEZ SHALWAR,JJKS-A-30779-R34-AP,[],[]
CREAM BLENDED KAMEEZ SHALWAR,JJKS-A-37890,"['5,617.50']",['25%  OFF']
BROWN COTTON KAMEEZ SHALWAR,JJKS-A-37894,"['7,155.00']",['25%  OFF']
BLACK BLENDED KAMEEZ SHALWAR,JJKS-A-30729-R33-AP,[],[]
SAGE GREEN BLENDED KAMEEZ SHALWAR,JJKS-S-37884,"['6,922.50']",['25%  OFF']
COLIMA - OFF WHITE BLENDED KAMEEZ SHALWAR,,[],[]
GREY BLENDED KAMEEZ SHALWAR,JJKS-A-30821-R27-AP,[],[]
BROWN BLENDED KAMEEZ SHALWAR,JJKS-A-34769,"['6,150.00']",['25%  OFF']
GREY BLENDED KAMEEZ SHALWAR,JJKS-A-30820-R27-AP,[],[]
NAVY BLUE BLENDED KAMEEZ SHALWAR,JJKS-A-37887,"['6,150.00']",['25%  OFF']
ESPERANZA - BLACK BLENDED EXCLUSIVE KAMEEZ SHALWAR,,[],[]
RICHMOND - BLACK BLENDED EXCLUSIVE KAMEEZ SHALWAR,,[],[]
SINALOA - OFF WHITE COTTON EXCLUSIVE KAMEEZ SHALWAR,,[],[]
ESPERANZA - OFF WHITE BLENDED EXCLUSIVE KAMEEZ SHALWAR,,[],[]
ESPERANZA - OLIVE BLENDED EXCLUSIVE KAMEEZ SHALWAR,,[],[]
BROWN BLENDED KAMEEZ SHALWAR,JJKS-S-37885,"['6,540.00']",['25%  OFF']
BLACK BLENDED KAMEEZ SHALWAR,JJKS-A-34768,"['6,540.00']",['25%  OFF']
BROWN BLENDED KAMEEZ SHALWAR,JJKS-A-47005-R7-AP,[],[]
DULL BLUE COTTON KAMEEZ SHALWAR,JJKS-A-32961,"['6,922.50']",['25%  OFF']
WHITE BLENDED KAMEEZ SHALWAR,JJKS-A-30727-R20,[],[]
SOFIA - CHARCOAL BLENDED KAMEEZ SHALWAR,,[],[]
MERIDA - CHARCOAL BLENDED KAMEEZ SHALWAR,,[],[]
MOROCCO - BURGUNDY BLENDED KAMEEZ SHALWAR,,[],[]
LIMA - CREAM BLENDED KAMEEZ SHALWAR,,[],[]
TACOMA - NAVY BLENDED KAMEEZ SHALWAR,,[],[]
WHITE BLENDED KAMEEZ SHALWAR,JJKS-A-30727-R22-AP,[],[]
WHITE BLENDED KAMEEZ SHALWAR,JJKS-A-30728-R22-AP,[],[]
